doctor,month,patient_revenue,procedure_revenue,ancillary_revenue,salary_expense,supplies_expense,facility_expense,admin_expense,malpractice_expense,other_expense
Dr_01,2025-01,80325.0,36146.25,9639.0,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-02,82620.0,37179.0,9914.4,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-03,84915.0,38211.75,10189.8,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-04,87210.0,39244.5,10465.2,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-05,89505.0,40277.25,10740.6,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-06,91800.0,41310.0,11016.0,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-07,94095.0,42342.75,11291.4,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-08,96390.0,43375.5,11566.8,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-09,98685.0,44408.25,11842.2,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-10,100980.0,45441.0,12117.6,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-11,103275.0,46473.75,12393.0,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_01,2025-12,105570.0,47506.5,12668.4,44064.0,10098.0,11934.0,7344.0,2754.0,3672.0
Dr_02,2025-01,81900.0,36855.0,9828.0,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-02,84240.0,37908.0,10108.8,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-03,86580.0,38961.0,10389.6,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-04,88920.0,40014.0,10670.4,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-05,91260.0,41067.0,10951.2,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-06,93600.0,42120.0,11232.0,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-07,95940.0,43173.0,11512.8,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-08,98280.0,44226.0,11793.6,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-09,100620.0,45279.0,12074.4,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-10,102960.0,46332.0,12355.2,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-11,105300.0,47385.0,12636.0,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_02,2025-12,107640.0,48438.0,12916.8,44928.0,10296.0,12168.0,7488.0,2808.0,3744.0
Dr_03,2025-01,83475.0,37563.75,10017.0,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-02,85860.0,38637.0,10303.2,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-03,88245.0,39710.25,10589.4,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-04,90630.0,40783.5,10875.6,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-05,93015.0,41856.75,11161.8,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-06,95400.0,42930.0,11448.0,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-07,97785.0,44003.25,11734.2,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-08,100170.0,45076.5,12020.4,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-09,102555.0,46149.75,12306.6,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-10,104940.0,47223.0,12592.8,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-11,107325.0,48296.25,12879.0,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_03,2025-12,109710.0,49369.5,13165.2,45792.0,10494.0,12402.0,7632.0,2862.0,3816.0
Dr_04,2025-01,85050.0,38272.5,10206.0,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-02,87480.0,39366.0,10497.6,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-03,89910.0,40459.5,10789.2,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-04,92340.0,41553.0,11080.8,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-05,94770.0,42646.5,11372.4,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-06,97200.0,43740.0,11664.0,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-07,99630.0,44833.5,11955.6,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-08,102060.0,45927.0,12247.2,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-09,104490.0,47020.5,12538.8,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-10,106920.0,48114.0,12830.4,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-11,109350.0,49207.5,13122.0,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_04,2025-12,111780.0,50301.0,13413.6,46656.0,10692.0,12636.0,7776.0,2916.0,3888.0
Dr_05,2025-01,86625.0,38981.25,10395.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-02,89100.0,40095.0,10692.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-03,91575.0,41208.75,10989.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-04,94050.0,42322.5,11286.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-05,96525.0,43436.25,11583.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-06,99000.0,44550.0,11880.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-07,101475.0,45663.75,12177.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-08,103950.0,46777.5,12474.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-09,106425.0,47891.25,12771.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-10,108900.0,49005.0,13068.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-11,111375.0,50118.75,13365.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_05,2025-12,113850.0,51232.5,13662.0,47520.0,10890.0,12870.0,7920.0,2970.0,3960.0
Dr_06,2025-01,88200.0,39690.0,10584.0,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-02,90720.0,40824.0,10886.4,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-03,93240.0,41958.0,11188.8,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-04,95760.0,43092.0,11491.2,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-05,98280.0,44226.0,11793.6,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-06,100800.0,45360.0,12096.0,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-07,103320.0,46494.0,12398.4,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-08,105840.0,47628.0,12700.8,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-09,108360.0,48762.0,13003.2,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-10,110880.0,49896.0,13305.6,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-11,113400.0,51030.0,13608.0,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_06,2025-12,115920.0,52164.0,13910.4,48384.0,11088.0,13104.0,8064.0,3024.0,4032.0
Dr_07,2025-01,89775.0,40398.75,10773.0,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-02,92340.0,41553.0,11080.8,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-03,94905.0,42707.25,11388.6,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-04,97470.0,43861.5,11696.4,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-05,100035.0,45015.75,12004.2,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-06,102600.0,46170.0,12312.0,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-07,105165.0,47324.25,12619.8,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-08,107730.0,48478.5,12927.6,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-09,110295.0,49632.75,13235.4,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-10,112860.0,50787.0,13543.2,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-11,115425.0,51941.25,13851.0,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_07,2025-12,117990.0,53095.5,14158.8,49248.0,11286.0,13338.0,8208.0,3078.0,4104.0
Dr_08,2025-01,91350.0,41107.5,10962.0,50112.0,11484.0,13572.0,8352.0,3132.0,4176.0
